ym,0-14,15-64,65
201404,2024,14266,3568
201405,2002,14290,3570
201406,2003,14296,3560
201407,1999,14312,3560
201408,1976,14298,3558
201409,1959,14279,3560
201410,1947,14263,3564
201411,1947,14242,3574
201412,1932,14201,3582
201501,1928,14149,3595
201502,1920,14130,3608
201503,1918,14085,3629
201504,1898,14040,3637
201505,1888,14024,3646
201506,1878,14004,3642
201507,1858,13968,3643
201508,1840,13970,3641
201509,1826,13949,3626
201510,1823,13950,3628
201511,1818,13935,3635
201512,1810,13908,3642
201601,1799,13890,3646
201602,1781,13881,3643
201603,1771,13864,3640
201604,1748,13840,3641
201605,1747,13823,3634
201606,1744,13815,3636
201607,1744,13787,3634
201608,1737,13780,3635
201609,1737,13778,3639
201610,1726,13758,3645
201611,1703,13759,3658
201612,1690,13753,3655
201701,1677,13718,3669
201702,1675,13698,3676
201703,1646,13670,3671
201704,1629,13648,3688
201705,1638,13613,3699
201706,1621,13585,3705
201707,1610,13562,3708
201708,1596,13554,3715
201709,1588,13558,3709
201710,1578,13538,3707
201711,1567,13545,3711
201712,1570,13521,3712
201801,1576,13500,3710
201802,1567,13486,3716
201803,1570,13495,3712
201804,1555,13491,3711
201805,1550,13474,3717
201806,1540,13489,3716
201807,1527,13479,3713
201808,1528,13463,3720
201809,1527,13463,3723
201810,1523,13449,3727
201811,1502,13411,3735
201812,1497,13388,3744
201901,1495,13343,3745
201902,1471,13304,3756
201903,1468,13283,3755
201904,1456,13250,3753
201905,1453,13210,3764
201906,1443,13173,3784
201907,1445,13153,3786
201908,1444,13123,3790
201909,1428,13094,3800
201910,1420,13063,3816
201911,1420,13027,3830
201912,1418,12997,3830
202001,1399,12972,3837
202002,1392,12926,3846
202003,1383,12878,3848
202004,1381,12864,3859
202005,1374,12818,3875
202006,1378,12797,3881
202007,1381,12790,3891
202008,1371,12772,3905
202009,1360,12756,3912
202010,1361,12732,3928
202011,1362,12697,3933
202012,1360,12663,3942
202101,1345,12646,3940
202102,1341,12636,3947
202103,1318,12582,3962
202104,1307,12537,3968
202105,1298,12490,3971
202106,1292,12469,3965
202107,1277,12439,3969
202108,1279,12406,3985
202109,1275,12363,3990
202110,1272,12348,3988
202111,1281,12304,3993
202112,1275,12282,4000
202201,1258,12250,4008
202202,1245,12218,4031
202203,1233,12177,4039
202204,1217,12178,4048
202205,1216,12189,4046
202206,1211,12168,4043
202207,1207,12164,4044
202208,1202,12135,4032
