ym,0-14,15-64,65
201404,2637,18295,3586
201405,2611,18305,3592
201406,2616,18310,3586
201407,2611,18296,3580
201408,2597,18302,3586
201409,2589,18302,3585
201410,2568,18319,3588
201411,2558,18325,3601
201412,2554,18339,3599
201501,2520,18320,3603
201502,2507,18302,3608
201503,2498,18280,3623
201504,2470,18256,3635
201505,2453,18245,3623
201506,2441,18257,3618
201507,2438,18242,3612
201508,2418,18266,3611
201509,2399,18243,3622
201510,2369,18261,3622
201511,2360,18283,3636
201512,2343,18280,3635
201601,2337,18258,3651
201602,2317,18252,3649
201603,2305,18272,3653
201604,2318,18259,3675
201605,2320,18272,3682
201606,2321,18258,3687
201607,2316,18256,3692
201608,2308,18258,3717
201609,2290,18269,3727
201610,2278,18258,3729
201611,2267,18257,3735
201612,2264,18203,3769
201701,2264,18182,3783
201702,2251,18171,3787
201703,2251,18160,3796
201704,2245,18148,3808
201705,2253,18148,3819
201706,2249,18168,3820
201707,2234,18180,3819
201708,2205,18195,3821
201709,2211,18202,3827
201710,2211,18210,3820
201711,2201,18214,3832
201712,2186,18222,3842
201801,2162,18186,3853
201802,2159,18172,3863
201803,2174,18167,3885
201804,2172,18172,3901
201805,2171,18192,3905
201806,2151,18219,3913
201807,2133,18241,3925
201808,2126,18260,3934
201809,2108,18267,3947
201810,2104,18257,3954
201811,2105,18257,3954
201812,2092,18251,3959
201901,2101,18255,3972
201902,2095,18252,3985
201903,2078,18204,3994
201904,2092,18215,3998
201905,2086,18239,4001
201906,2082,18236,4017
201907,2088,18227,4031
201908,2079,18228,4053
201909,2074,18268,4055
201910,2062,18295,4062
201911,2060,18277,4079
201912,2065,18266,4093
202001,2049,18222,4119
202002,2048,18222,4128
202003,2039,18209,4134
202004,2033,18184,4145
202005,2034,18153,4169
202006,2035,18142,4180
202007,2031,18152,4191
202008,2015,18127,4207
202009,2026,18078,4230
202010,2012,18074,4231
202011,1988,18087,4239
202012,2018,18094,4254
202101,2003,18075,4267
202102,2008,18075,4272
202103,2019,18083,4287
202104,2007,18085,4308
202105,2020,18064,4315
202106,2018,18085,4316
202107,2017,18079,4323
202108,2009,18051,4334
202109,2015,18023,4371
202110,2015,18005,4387
202111,2008,17991,4399
202112,2006,17980,4405
202201,1984,17961,4419
202202,1991,17904,4448
202203,1983,17908,4450
202204,1977,17919,4456
202205,1988,17920,4453
202206,1986,17916,4455
202207,2003,17936,4466
202208,2006,17930,4474
