ym,0-14,15-64,65
201404,1617,13069,3100
201405,1606,13091,3096
201406,1596,13079,3090
201407,1599,13076,3088
201408,1609,13055,3095
201409,1607,13052,3104
201410,1601,13024,3116
201411,1585,13017,3130
201412,1583,13007,3129
201501,1576,12951,3153
201502,1572,12929,3167
201503,1566,12905,3169
201504,1568,12886,3170
201505,1549,12879,3166
201506,1542,12894,3171
201507,1529,12893,3167
201508,1522,12911,3175
201509,1531,12896,3184
201510,1528,12890,3180
201511,1514,12869,3193
201512,1493,12855,3196
201601,1505,12827,3218
201602,1481,12816,3221
201603,1480,12796,3219
201604,1473,12784,3226
201605,1471,12778,3229
201606,1461,12761,3242
201607,1464,12743,3248
201608,1460,12731,3247
201609,1468,12699,3256
201610,1456,12679,3267
201611,1455,12653,3270
201612,1448,12630,3273
201701,1445,12597,3294
201702,1430,12577,3289
201703,1431,12557,3298
201704,1421,12552,3309
201705,1416,12535,3321
201706,1398,12524,3322
201707,1409,12502,3322
201708,1400,12470,3328
201709,1398,12450,3332
201710,1393,12434,3343
201711,1380,12441,3351
201712,1375,12422,3361
201801,1375,12406,3375
201802,1362,12412,3383
201803,1353,12383,3378
201804,1348,12388,3380
201805,1341,12398,3395
201806,1359,12406,3416
201807,1371,12406,3432
201808,1355,12399,3429
201809,1354,12382,3436
201810,1364,12372,3445
201811,1347,12348,3457
201812,1339,12320,3460
201901,1341,12296,3462
201902,1346,12278,3471
201903,1343,12231,3484
201904,1327,12216,3485
201905,1325,12179,3496
201906,1326,12167,3497
201907,1318,12127,3506
201908,1315,12105,3521
201909,1315,12077,3524
201910,1314,12064,3538
201911,1317,12037,3543
201912,1310,12003,3550
202001,1305,11977,3561
202002,1300,11947,3559
202003,1283,11943,3565
202004,1268,11936,3568
202005,1254,11922,3573
202006,1249,11901,3578
202007,1245,11880,3589
202008,1242,11846,3609
202009,1238,11823,3619
202010,1243,11792,3635
202011,1237,11749,3649
202012,1231,11716,3668
202101,1219,11686,3678
202102,1207,11658,3681
202103,1185,11633,3684
202104,1163,11609,3686
202105,1163,11580,3699
202106,1154,11571,3698
202107,1146,11560,3703
202108,1133,11535,3724
202109,1145,11501,3739
202110,1156,11472,3750
202111,1140,11444,3758
202112,1131,11421,3766
202201,1130,11379,3786
202202,1120,11348,3793
202203,1112,11319,3802
202204,1108,11286,3800
202205,1101,11255,3805
202206,1132,11227,3807
202207,1130,11216,3816
202208,1132,11187,3828
