ym,0-14,15-64,65
201404,28365,140951,14240
201405,28346,141032,14281
201406,28351,141078,14352
201407,28306,141029,14389
201408,28188,141003,14496
201409,28145,141029,14593
201410,28142,141037,14686
201411,28083,141073,14768
201412,28121,141176,14870
201501,28014,141168,14971
201502,27906,141144,15052
201503,27804,141012,15151
201504,27797,140934,15253
201505,27699,140969,15311
201506,27609,141055,15364
201507,27522,141114,15411
201508,27417,141146,15502
201509,27286,141116,15619
201510,27258,141155,15769
201511,27160,141149,15896
201512,27140,141101,16008
201601,27097,141060,16172
201602,27049,141009,16289
201603,26984,140871,16419
201604,26944,140798,16503
201605,26889,140721,16595
201606,26829,140748,16707
201607,26805,140717,16791
201608,26754,140690,16914
201609,26673,140538,17032
201610,26643,140509,17168
201611,26595,140471,17285
201612,26606,140347,17447
201701,26530,140289,17590
201702,26458,140152,17735
201703,26420,140106,17853
201704,26393,140064,17955
201705,26363,140008,18106
201706,26282,139871,18206
201707,26256,139801,18290
201708,26169,139704,18359
201709,26104,139560,18487
201710,26069,139470,18656
201711,25968,139389,18813
201712,25946,139240,18963
201801,25882,139121,19102
201802,25806,139027,19222
201803,25702,138823,19411
201804,25579,138703,19523
201805,25545,138584,19603
201806,25444,138483,19695
201807,25417,138445,19807
201808,25382,138428,19924
201809,25342,138277,20059
201810,25329,138252,20199
201811,25324,138174,20383
201812,25305,138117,20524
201901,25290,137882,20708
201902,25246,137738,20910
201903,25180,137592,21039
201904,25135,137504,21156
201905,25102,137464,21269
201906,25050,137440,21342
201907,25053,137438,21407
201908,25038,137448,21555
201909,24998,137334,21676
201910,24935,137222,21825
201911,24888,137087,21991
201912,24827,136971,22128
202001,24754,136880,22272
202002,24772,136735,22449
202003,24750,136568,22592
202004,24721,136421,22753
202005,24721,136296,22843
202006,24702,136267,22925
202007,24614,136133,23040
202008,24568,135921,23215
202009,24494,135746,23327
202010,24441,135599,23495
202011,24389,135448,23631
202012,24390,135303,23777
202101,24270,135111,23921
202102,24185,134938,24044
202103,24125,134692,24249
202104,24072,134511,24394
202105,24025,134287,24537
202106,23967,134258,24606
202107,23917,134100,24651
202108,23838,133882,24853
202109,23804,133662,25031
202110,23730,133437,25144
202111,23666,133174,25281
202112,23603,132889,25411
202201,23516,132586,25518
202202,23440,132280,25702
202203,23324,131850,25776
202204,23213,131420,25841
202205,23076,131097,25871
202206,22957,130990,25894
202207,22899,130902,25990
202208,22883,130845,26094
