ym,0-14,15-64,65
201404,1146,6724,1904
201405,1138,6762,1900
201406,1126,6773,1912
201407,1126,6783,1904
201408,1122,6781,1908
201409,1116,6787,1898
201410,1126,6792,1899
201411,1127,6788,1901
201412,1122,6768,1894
201501,1125,6760,1897
201502,1122,6763,1899
201503,1124,6760,1900
201504,1118,6759,1898
201505,1106,6735,1897
201506,1093,6725,1903
201507,1087,6728,1896
201508,1082,6716,1895
201509,1079,6715,1900
201510,1070,6725,1895
201511,1060,6726,1901
201512,1055,6727,1909
201601,1041,6725,1916
201602,1039,6715,1913
201603,1038,6694,1914
201604,1023,6694,1907
201605,1013,6688,1910
201606,1003,6693,1906
201607,995,6683,1904
201608,993,6698,1902
201609,983,6684,1902
201610,982,6684,1905
201611,969,6659,1912
201612,969,6650,1912
201701,965,6640,1915
201702,969,6635,1916
201703,971,6622,1925
201704,962,6612,1921
201705,955,6617,1920
201706,961,6598,1924
201707,961,6586,1919
201708,956,6579,1921
201709,945,6576,1919
201710,938,6577,1914
201711,934,6566,1908
201712,925,6556,1909
201801,918,6536,1904
201802,915,6537,1903
201803,914,6540,1900
201804,907,6552,1903
201805,898,6555,1909
201806,894,6558,1913
201807,887,6556,1915
201808,883,6560,1919
201809,883,6545,1924
201810,872,6554,1926
201811,867,6548,1925
201812,863,6544,1928
201901,854,6512,1935
201902,854,6503,1942
201903,846,6491,1948
201904,852,6467,1947
201905,839,6447,1948
201906,840,6456,1947
201907,826,6445,1956
201908,826,6432,1963
201909,818,6429,1957
201910,809,6423,1955
201911,805,6409,1958
201912,796,6415,1967
202001,790,6411,1971
202002,785,6391,1972
202003,780,6375,1966
202004,780,6353,1973
202005,777,6336,1977
202006,779,6328,1973
202007,771,6327,1972
202008,777,6320,1968
202009,775,6306,1963
202010,774,6300,1973
202011,776,6291,1977
202012,773,6288,1974
202101,771,6259,1984
202102,774,6249,1989
202103,769,6230,1995
202104,762,6208,1999
202105,750,6187,1992
202106,740,6179,1986
202107,727,6157,1980
202108,730,6152,1978
202109,728,6140,1973
202110,723,6125,1969
202111,722,6121,1969
202112,717,6105,1975
202201,708,6079,1979
202202,698,6059,1984
202203,693,6059,1981
202204,686,6052,1982
202205,677,6059,1978
202206,681,6057,1979
202207,675,6054,1980
202208,664,6046,1982
