ym,0-14,15-64,65
201404,2892,16599,3587
201405,2867,16603,3595
201406,2864,16585,3592
201407,2839,16568,3586
201408,2810,16548,3596
201409,2797,16505,3593
201410,2788,16484,3600
201411,2772,16482,3605
201412,2773,16445,3614
201501,2747,16421,3633
201502,2725,16401,3645
201503,2722,16380,3648
201504,2706,16380,3659
201505,2697,16365,3662
201506,2673,16351,3663
201507,2663,16327,3663
201508,2636,16333,3675
201509,2612,16325,3689
201510,2603,16302,3698
201511,2592,16287,3713
201512,2593,16271,3722
201601,2589,16238,3755
201602,2585,16217,3762
201603,2576,16204,3772
201604,2558,16208,3777
201605,2548,16199,3774
201606,2555,16192,3773
201607,2555,16187,3789
201608,2543,16174,3786
201609,2528,16139,3797
201610,2523,16123,3816
201611,2507,16097,3832
201612,2502,16069,3835
201701,2504,16051,3867
201702,2505,16030,3876
201703,2502,15988,3885
201704,2518,15985,3890
201705,2504,15972,3893
201706,2500,15959,3897
201707,2495,15969,3905
201708,2486,15955,3913
201709,2468,15952,3904
201710,2451,15926,3926
201711,2450,15914,3932
201712,2432,15902,3941
201801,2424,15886,3950
201802,2437,15870,3969
201803,2451,15847,3971
201804,2451,15848,3979
201805,2440,15855,3989
201806,2435,15830,3995
201807,2412,15844,3998
201808,2397,15825,4013
201809,2381,15798,4023
201810,2382,15775,4039
201811,2372,15753,4047
201812,2364,15728,4056
201901,2366,15690,4064
201902,2374,15665,4076
201903,2387,15625,4096
201904,2379,15610,4105
201905,2370,15600,4112
201906,2353,15561,4130
201907,2336,15557,4117
201908,2335,15540,4112
201909,2311,15507,4118
201910,2298,15487,4132
201911,2293,15444,4154
201912,2299,15420,4167
202001,2281,15383,4191
202002,2271,15354,4203
202003,2276,15319,4220
202004,2267,15304,4236
202005,2257,15285,4237
202006,2244,15273,4244
202007,2229,15248,4260
202008,2216,15224,4276
202009,2210,15210,4293
202010,2203,15185,4314
202011,2174,15167,4317
202012,2183,15159,4326
202101,2183,15138,4345
202102,2168,15119,4356
202103,2162,15087,4362
202104,2146,15065,4379
202105,2146,15048,4390
202106,2150,15046,4394
202107,2149,15033,4390
202108,2142,15009,4402
202109,2129,14994,4415
202110,2118,14992,4414
202111,2114,14967,4428
202112,2106,14947,4435
202201,2089,14904,4455
202202,2094,14869,4465
202203,2095,14840,4466
202204,2091,14812,4484
202205,2091,14800,4501
202206,2071,14780,4510
202207,2073,14764,4521
202208,2065,14766,4532
