ym,0-14,15-64,65
201404,27833,143170,15087
201405,27822,143364,15108
201406,27830,143568,15135
201407,27845,143721,15173
201408,27852,143784,15270
201409,27870,143880,15410
201410,27901,143950,15462
201411,27866,144021,15551
201412,27922,144238,15615
201501,27884,144329,15709
201502,27829,144417,15796
201503,27853,144452,15920
201504,27863,144528,16005
201505,27820,144644,16030
201506,27858,144838,16045
201507,27808,145026,16087
201508,27722,145197,16184
201509,27691,145238,16247
201510,27641,145313,16325
201511,27580,145335,16488
201512,27620,145422,16578
201601,27599,145414,16711
201602,27573,145348,16867
201603,27536,145354,16991
201604,27538,145417,17069
201605,27542,145462,17170
201606,27518,145503,17308
201607,27539,145597,17420
201608,27519,145623,17583
201609,27532,145589,17730
201610,27533,145589,17877
201611,27522,145591,18021
201612,27470,145580,18146
201701,27439,145555,18293
201702,27417,145552,18394
201703,27414,145587,18477
201704,27433,145592,18578
201705,27465,145559,18664
201706,27437,145521,18736
201707,27434,145566,18821
201708,27467,145526,18967
201709,27480,145482,19062
201710,27467,145450,19235
201711,27451,145423,19345
201712,27408,145382,19434
201801,27418,145302,19607
201802,27445,145191,19727
201803,27459,145100,19842
201804,27393,145045,19908
201805,27423,145106,20006
201806,27462,145182,20115
201807,27424,145200,20263
201808,27424,145206,20379
201809,27424,145179,20499
201810,27423,145132,20608
201811,27444,145125,20744
201812,27449,145105,20884
201901,27466,145076,21086
201902,27458,145003,21243
201903,27456,144974,21352
201904,27441,144951,21396
201905,27405,144902,21449
201906,27389,144888,21509
201907,27398,144866,21605
201908,27382,144886,21707
201909,27377,144854,21834
201910,27318,144803,21990
201911,27258,144718,22158
201912,27284,144627,22317
202001,27172,144534,22483
202002,27146,144492,22638
202003,27190,144460,22778
202004,27224,144415,22907
202005,27217,144394,23054
202006,27278,144402,23182
202007,27278,144396,23324
202008,27268,144393,23433
202009,27254,144417,23570
202010,27218,144347,23724
202011,27233,144294,23887
202012,27270,144341,24012
202101,27248,144310,24135
202102,27235,144223,24245
202103,27301,144134,24493
202104,27312,144068,24654
202105,27291,144061,24771
202106,27275,143997,24896
202107,27283,143902,25053
202108,27327,143938,25340
202109,27314,143934,25544
202110,27264,143950,25642
202111,27290,143940,25792
202112,27272,143876,25913
202201,27263,143835,26074
202202,27261,143618,26335
202203,27238,143508,26405
202204,27237,143350,26491
202205,27193,143402,26570
202206,27253,143590,26656
202207,27281,143691,26731
202208,27345,143873,26867
