ym,0-14,15-64,65
201404,2000,12972,2718
201405,2002,13022,2718
201406,2011,13040,2723
201407,2005,13040,2723
201408,2001,13019,2719
201409,2004,13009,2724
201410,2000,13015,2713
201411,1989,13003,2709
201412,1990,12998,2712
201501,1993,12995,2686
201502,1996,12978,2693
201503,1977,12964,2693
201504,1956,12939,2699
201505,1958,12946,2705
201506,1943,12915,2695
201507,1934,12945,2694
201508,1937,12946,2692
201509,1917,12925,2694
201510,1908,12912,2694
201511,1891,12911,2697
201512,1896,12918,2693
201601,1897,12883,2695
201602,1904,12892,2695
201603,1903,12895,2700
201604,1899,12876,2714
201605,1887,12866,2721
201606,1885,12861,2722
201607,1876,12864,2714
201608,1872,12848,2728
201609,1880,12831,2746
201610,1877,12834,2753
201611,1875,12805,2771
201612,1870,12792,2781
201701,1865,12779,2796
201702,1868,12775,2809
201703,1860,12764,2818
201704,1859,12735,2829
201705,1859,12742,2830
201706,1850,12743,2838
201707,1860,12732,2843
201708,1837,12756,2849
201709,1831,12751,2854
201710,1815,12756,2862
201711,1827,12733,2875
201712,1803,12712,2884
201801,1800,12696,2892
201802,1795,12698,2884
201803,1802,12701,2895
201804,1795,12730,2898
201805,1792,12702,2900
201806,1777,12655,2902
201807,1772,12647,2903
201808,1780,12642,2906
201809,1778,12625,2913
201810,1785,12610,2919
201811,1774,12603,2927
201812,1756,12588,2925
201901,1756,12598,2931
201902,1742,12581,2947
201903,1722,12552,2957
201904,1723,12525,2965
201905,1718,12534,2963
201906,1705,12520,2967
201907,1705,12538,2986
201908,1711,12520,3004
201909,1701,12478,3008
201910,1688,12463,3006
201911,1675,12462,3017
201912,1666,12446,3020
202001,1644,12443,3030
202002,1635,12443,3035
202003,1632,12438,3040
202004,1628,12430,3043
202005,1634,12430,3050
202006,1622,12428,3066
202007,1614,12418,3067
202008,1612,12410,3081
202009,1597,12375,3083
202010,1581,12355,3102
202011,1572,12308,3118
202012,1559,12278,3124
202101,1558,12262,3129
202102,1561,12261,3131
202103,1563,12237,3149
202104,1537,12218,3162
202105,1520,12184,3174
202106,1526,12178,3172
202107,1528,12187,3182
202108,1525,12161,3190
202109,1515,12158,3203
202110,1510,12154,3201
202111,1505,12132,3204
202112,1506,12121,3206
202201,1513,12098,3222
202202,1511,12083,3241
202203,1506,12074,3239
202204,1497,12039,3251
202205,1490,12026,3256
202206,1496,12039,3253
202207,1498,12070,3256
202208,1515,12077,3263
