ym,0-14,15-64,65
201404,414,3009,340
201405,407,3037,346
201406,409,3055,346
201407,407,3051,348
201408,408,3054,351
201409,407,3055,354
201410,409,3052,363
201411,410,3048,365
201412,400,3044,364
201501,398,3053,361
201502,401,3060,362
201503,390,3073,364
201504,387,3068,368
201505,382,3064,370
201506,385,3063,366
201507,387,3056,362
201508,385,3055,365
201509,389,3045,370
201510,384,3045,369
201511,385,3034,371
201512,380,3020,375
201601,385,3003,378
201602,383,2996,380
201603,387,2990,380
201604,381,2990,381
201605,377,2985,380
201606,378,2978,383
201607,379,2979,382
201608,375,2978,385
201609,365,2982,386
201610,363,2974,391
201611,370,2961,397
201612,369,2956,399
201701,368,2952,400
201702,365,2964,402
201703,368,2972,401
201704,373,2988,403
201705,376,3009,404
201706,377,3021,406
201707,371,3035,408
201708,377,3049,411
201709,384,3062,415
201710,388,3071,418
201711,393,3084,417
201712,399,3104,423
201801,404,3134,426
201802,405,3162,424
201803,399,3214,427
201804,401,3257,425
201805,404,3274,429
201806,406,3272,434
201807,409,3261,435
201808,408,3245,440
201809,407,3238,441
201810,412,3242,443
201811,417,3236,442
201812,422,3229,446
201901,420,3211,449
201902,424,3192,451
201903,421,3190,459
201904,424,3194,462
201905,425,3178,463
201906,435,3179,465
201907,432,3191,465
201908,426,3189,464
201909,430,3180,466
201910,432,3178,469
201911,433,3152,466
201912,434,3142,469
202001,438,3138,466
202002,433,3131,466
202003,423,3130,471
202004,425,3127,471
202005,426,3134,469
202006,429,3137,469
202007,433,3134,472
202008,432,3152,473
202009,429,3144,471
202010,423,3139,477
202011,420,3123,478
202012,416,3128,482
202101,416,3127,486
202102,425,3134,484
202103,419,3152,486
202104,418,3178,489
202105,414,3182,490
202106,417,3169,493
202107,408,3181,494
202108,401,3181,497
202109,404,3180,500
202110,407,3201,500
202111,408,3212,505
202112,397,3211,516
202201,392,3210,517
202202,389,3222,521
202203,381,3257,527
202204,375,3287,529
202205,379,3319,531
202206,380,3329,531
202207,382,3349,533
202208,385,3361,535
