ym,0-14,15-64,65
201404,1978,14409,2479
201405,1960,14476,2488
201406,1969,14565,2494
201407,1983,14651,2507
201408,2007,14731,2525
201409,2005,14743,2542
201410,1999,14790,2551
201411,1996,14803,2560
201412,2009,14894,2562
201501,2018,14947,2564
201502,2021,15004,2570
201503,2004,15095,2576
201504,1976,15177,2579
201505,1969,15198,2581
201506,1971,15255,2581
201507,1975,15339,2575
201508,1962,15415,2584
201509,1956,15442,2584
201510,1965,15476,2591
201511,1966,15499,2600
201512,1959,15531,2617
201601,1954,15533,2645
201602,1928,15493,2670
201603,1917,15501,2685
201604,1910,15511,2693
201605,1896,15529,2695
201606,1889,15563,2703
201607,1891,15589,2727
201608,1870,15599,2718
201609,1867,15641,2718
201610,1857,15669,2724
201611,1867,15667,2745
201612,1876,15670,2766
201701,1883,15667,2780
201702,1883,15679,2778
201703,1865,15708,2791
201704,1848,15716,2800
201705,1819,15707,2824
201706,1837,15718,2839
201707,1846,15723,2845
201708,1844,15733,2860
201709,1839,15755,2863
201710,1831,15781,2877
201711,1831,15797,2887
201712,1827,15811,2897
201801,1824,15800,2913
201802,1819,15792,2921
201803,1786,15820,2916
201804,1755,15839,2923
201805,1756,15878,2939
201806,1749,15916,2962
201807,1768,15954,2975
201808,1769,15942,2990
201809,1761,15970,3001
201810,1755,15987,3009
201811,1750,15970,3030
201812,1737,15990,3057
201901,1739,16004,3071
201902,1727,16009,3080
201903,1688,15991,3094
201904,1672,16021,3105
201905,1659,16002,3125
201906,1657,15985,3148
201907,1664,15976,3165
201908,1648,15926,3184
201909,1654,15909,3204
201910,1653,15906,3226
201911,1659,15899,3240
201912,1658,15895,3249
202001,1659,15883,3277
202002,1636,15863,3284
202003,1616,15835,3293
202004,1609,15819,3302
202005,1607,15791,3315
202006,1604,15782,3329
202007,1598,15763,3340
202008,1592,15756,3344
202009,1591,15760,3357
202010,1595,15751,3390
202011,1589,15731,3400
202012,1592,15708,3432
202101,1585,15712,3452
202102,1574,15670,3472
202103,1549,15653,3493
202104,1529,15636,3514
202105,1523,15614,3530
202106,1526,15598,3543
202107,1507,15560,3555
202108,1513,15540,3600
202109,1517,15528,3639
202110,1504,15559,3650
202111,1504,15590,3669
202112,1507,15597,3681
202201,1496,15580,3695
202202,1477,15529,3703
202203,1450,15518,3722
202204,1436,15456,3739
202205,1431,15433,3752
202206,1432,15411,3755
202207,1447,15430,3765
202208,1434,15426,3785
